   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 GR8                      	 125840.4+141303 	10	2.19	6.84	6.92	-2.62	-2.67	24.5	-1.43	-2.05
 KK230                    	 140710.7+350337 	10	2.21	6.18	6.35	-3.78	-5.47	25.5	-1.34	-0.8
 UGCA438                  	 232627.5-322326 	10	2.22	7.59	7.25	-2.65	-3.84	24.1	-0.48	0.53
 KK258                    	 224043.9-304759 	-3	2.24	7.16	 <5.75  	-4.48	-4.68	26	-0.91	0.3
 DDO187                   	 141556.5+230319 	10	2.3	7.06	7.1	-2.98	-3.97	24.1	-1.49	-2.19
 IC4662                   	 174706.3-643825 	9	2.55	8.72	8.24	-1.37	-1.12	22.4	-1.24	      
 KKH98                    	 234534.0+384304 	10	2.58	6.63	6.49	-3.27	-3.57	25.1	-1.01	0
 DDO125                   	 122741.8+432938 	9	2.61	8.06	7.44	-2.32	-2.84	24.4	-0.94	-0.14
 KKH86                    	 135433.6+041435 	10	2.61	6.51	5.92	-4.17	-6.04	25.1	-1.38	-1.99
 DDO099                   	 115053.0+385250 	10	2.65	7.42	7.75	-2.28	-2.64	25.3	-0.62	-0.14
 NGC4190                  	 121344.6+363800 	9	2.83	7.9	7.47	-2.22	-2.42	23.7	1.72	-0.14
 DDO190                   	 142443.5+443133 	9	2.83	7.93	7.52	-2.24	-2.63	23.6	-1.18	-1.13
 NGC4214                  	 121538.9+361939 	8	2.88	8.98	8.46	-0.9	-0.85	23.4	0.65	-0.63
 NGC0404                  	 010926.9+354303 	-1	2.98	9.26	7.91	-2.23	-1.5	22.4	-0.76	-2.63
 NGC1560                  	 043249.9+715252 	7	2.99	8.6	8.91	-1.34	-1.43	24.8	0.78	1.54
 NGC4163                  	 121208.9+361010 	9	2.99	7.92	7.17	-2.4	-2.96	23.9	1.08	-0.14
 DDO147                   	 124659.8+362835 	10	3.01	7.19	7.47	-2.64	-3.31	24.5	-0.6	-0.1
 DDO181                   	 133953.8+404421 	10	3.1	7.56	7.36	-2.47	-2.61	24.7	-0.87	-0.09
 ESO269-037               	 130333.6-463503 	10	3.15	6.96	5.51	-3.71	-4.4	25	1.03	1.88
 KK35                     	 034512.6+675150 	10	3.16	7.97	        	-1.92	-1.61	25	2.4	1.92
 NGC2403                  	 073651.4+653558 	6	3.19	9.86	9.26	-0.08	-0.15	24.2	0.2	1.88
 NGC1569                  	 043049.1+645053 	8	3.19	9.4	8.3	-0.55	-0.08	22	1.12	1.92
 ESO383-087               	 134918.8-360341 	8	3.19	9.05	7.82	-1.45	-1.49	23.2	0.4	1.87
 ESO349-031               	 000813.3-343442 	10	3.21	7.12	7.13	-3.02	-4.03	24.7	0.15	1.75
 DDO044                   	 073411.3+665310 	-3	3.21	7.78	 <6.02  	-5.07	-5.19	26.4	2.27	1.9
 NGC3741                  	 113606.4+451707 	9	3.22	7.43	7.93	-2.26	-2.39	23.8	-0.69	-0.14
 UGC08833                 	 135448.7+355015 	10	3.25	7.41	7.05	-2.85	-3.34	24.2	-0.89	-1.02
 IC0342                   	 034648.9+680545 	6	3.28	10.6	10.16	0.6	-0.26	23.3	0.39	1.79
 NGC2366                  	 072854.6+691219 	10	3.28	8.7	8.63	-1.12	-0.95	24.4	0.83	1.91
 DDO183                   	 135051.1+380116 	10	3.31	7.54	7.33	-2.52	-3.12	24.8	-0.79	-1.04
 NGC5237                  	 133738.9-425051 	9	3.33	8.43	7.48	-2.38	-2.26	23.1	1.19	1.88
 ESO321-014               	 121349.6-381353 	10	3.33	7.29	7.25	-2.74	-3.06	24.3	0	1.86
 UGCA105                  	 051415.1+623451 	8	3.39	9.14	8.65	-1.07	-1.23	23.6	0.25	1.47
 KDG052                   	 082356.0+710146 	10	3.42	6.93	7.02	-3.06	-5.23	23.3	1.98	1.91
 NGC5253                  	 133955.8-313824 	8	3.44	9.08	7.91	-1.09	-0.64	23.5	0.27	1.68
 DDO006                   	 004949.3-210058 	10	3.44	7.08	7.06	-2.86	-4.14	25.6	1.29	1.74
 KKH37                    	 064745.8+800726 	10	3.44	6.9	6.71	-3.49	-3.84	25.1	-0.04	1.7
